SCORPION MAX V1,,,,,,,,,,LCSC BOM Quotation,,,,,,,,,,,,,,,
,,,,,,,,,,BOM Date Created：11/01/26 03:50:32,,,,BOM Export Date: 12/01/26 06:11:32,,,,"The matching result is a real-time query result, availability and prices may fluctuate.  
Backorder items are estimated prices for your reference, please submit ""Create Quote"" to get the real price.
All information is provided ""as is"" and is subject to change without notice.  Any use made of the information provided is without recourse to LCSC and at the user's risk.",,,,,,,
,,,,,,,,,,"EST TOTAL :$156.41
",,,,Website：https://www.lcsc.com/bom,,,,,,,,,,,
Uploaded data,,,,,,,,,,LCSC Matching Results,,,,,,,,,,,,,,,
LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(EUR),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(EUR),Ext.Price(EUR),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
,,,,,,28,5,,,TYPE-C-31-M-12,Korean Hroparts Elec,5,0.1553,0.78,C165948,SMD,5,5,1000,428540,In Stock,,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,Exact Matches,https://www.lcsc.com/product-detail/C165948.html
,,,,,,19,10,,,SMBJ64A,R+O,10,0.0441,0.44,C19077594,DO-214AA(SMB),10,10,3000,70550,In Stock,,103VC Clamp 5.83A@10/1000us Ipp TVS DIODE DO-214AA(SMB),Exact Matches,https://www.lcsc.com/product-detail/C19077594.html
,,,,,,22,50,,,1N5819WS,Guangdong Hottech,50,0.0083,0.42,C191023,SOD-323,50,50,3000,2274200,In Stock,,Diode 40V 1A Surface Mount SOD-323,Exact Matches,https://www.lcsc.com/product-detail/C191023.html
,,,,,,23,100,,,1N4148WT,JSMSEMI,100,0.0050,0.50,C917006,SOD-523,100,100,3000,942700,In Stock,,Diode Independent 75V 150mA Surface Mount SOD-523,Exact Matches,https://www.lcsc.com/product-detail/C917006.html
,,,,,,24,10,,,BAT54KFILM,ST,10,0.0684,0.68,C283259,SOD-523,10,10,3000,2120,In Stock,,Diode 40V 300mA Surface Mount SOD-523,Exact Matches,https://www.lcsc.com/product-detail/C283259.html
,,,,,,43,2,,,IHLP4040DZER6R8M01,VISHAY,2,0.8322,1.66,C845080,"SMD,10.8x10.2mm",1,1,500,48,In Stock,,"8A 6.8uH ±20% 23.3mΩ 13.5A SMD,10.8x10.2mm Fixed Inductors RoHS",Exact Matches,https://www.lcsc.com/product-detail/C845080.html
,,,,,,27,2,,,USB-302-T,SOFNG,2,0.1055,0.21,C112456,"Through Hole,Right Angle",1,1,100,7704,In Stock,,USB-A (USB TYPE-A) Receptacle Connector 4 Position Right Angle,Exact Matches,https://www.lcsc.com/product-detail/C112456.html
,,,,,,71,5,,,NE555DR,TI,5,0.0852,0.43,C7593,SOIC-8,5,5,2500,115150,In Stock,,SOIC-8 Programmable Timers and Oscillators RoHS,Exact Matches,https://www.lcsc.com/product-detail/C7593.html
,,,,,,64,5,,,STMPS2141STR,ST,5,0.2987,1.49,C54624,SOT-23-5,5,5,3000,2220,In Stock,,"SOT-23-5 Power Distribution Switches, Load Drivers RoHS",Exact Matches,https://www.lcsc.com/product-detail/C54624.html
,,,,,,72,10,,,TMC2130-TA-T,TRINAMIC,10,4.3494,43.49,C328952,TQFP-48-EP(7x7),1,1,2000,1640,In Stock,,"TQFP-48-EP(7x7) Motor Drivers, Controllers RoHS",Exact Matches,https://www.lcsc.com/product-detail/C328952.html
