Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C16, C18, C19, C20, C21, C22, C23, C24, C25, C26, C31, C32, C33, C34, C46, C47, C49, C50, C52, C53, C55, C56, C58, C59, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C76, C77, C78, C79, C80, C81, C83, C85, C86, C87, C93, C94, C95",0603,52,100n,
"C10, C15, C17, C2, C41, C42, C43, C44, C45, C82, C9",0805,11,4μ7,
"C27, C28, C48, C51, C54, C57, C60",CP_Elec_10x10,7,100μ,
"C29, C30",CP_Elec_6.3x5.8,2,10μ,
"C3, C5",0805,2,470n 10V,
C35,0603,1,10n,
"C36, C37, C38, C39, C40",0603,5,470n,
C4,CP_EIA-7343-43_Kemet-X,1,220μ 10V,
C6,1210,1,470n 100V,
C7,1210,1,4μ7 100V,
"C71, C72, C73, C74, C75",0603,5,22n,
C8,0603,1,2μ2 16V,
"C84, C88",0603,2,1μ,
"C89, C90",0603,2,8pF,
"C91, C92",0603,2,2μ2,
"D1, D26",0603,2,LED_R,
"D10, D11, D6, D7",0603,4,LED_B,
"D12, D5, D8, D9",DIOM5436X250N,4,SMBJ64A,
"D13, D16, D19, D22",0603,4,LED_YG,
"D14, D17, D20, D23",D_SOD-323,4,1N5819,
"D15, D18, D21, D24, D27",D_SOD-523,5,1N4148,
D2,D_SOD-123F,1,DSK24L,
"D25, D28",D_SOD-523,2,BAT54KFILM,
"D3, D4",0603,2,LED_G,
"F1, F2",FUSE-TH_4P-L16.0-W6.7,2,XF-508P-B-B,C19727305
IC1,QFN50P400X600X80-31N-D,1,LM76005RNPR,
J1,USB-A-TH_USB-302-T,1,USB_A,
"J10, J7, J8, J9",CONN-TH_2P-P5.08_2EDG-5.08-2AW,4,Conn_01x02,
"J11, J12",PinSocket_2x08_P2.54mm_Vertical,2,Conn_02x08_Odd_Even,
"J13, J14, J15",PinSocket_1x04_P2.54mm_Vertical,3,Conn_01x04,
"J16, J17, J18, J19",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,4,Conn_01x03,
J2,USB-C_SMD-TYPE-C-31-M-12_1,1,USB_C_Receptacle_USB2.0_14P,
"J20, J21",CONN-TH_63849-1,2,Faston,
J22,CONN-TH_DIN-422,1,Mini-DIN-4,
J23,CONN-TH_MKDS3-2-5.08,1,Conn_01x02,
"J24, J25",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
"J26, J27, J28, J29, J30",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,5,Conn_01x04,
"J3, J33, J36, J39, J4, J5, J6",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,7,Conn_01x02,
J31,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
"J32, J35, J38",PinSocket_1x03_P2.54mm_Vertical,3,Conn_01x03,
"J34, J37, J40",PinSocket_1x02_P2.54mm_Vertical,3,Conn_01x02,
K1,Relay_SPST_Omron_G2RL-1A-E,1,G2RL-1A-E,
L1,L_Vishay_IHLP-4040,1,6.8μ,
"Q1, Q2, Q3, Q4",NVMFS5C460NWFT1G,4,NVMFWS4D5N08XT1G,
"Q5, Q6, Q7, Q8",SOT-23,4,BC817,
Q9,SOT-23,1,BC807,
R1,0603,1,47k,
"R10, R12, R14, R16, R73",0603,5,4k7,
"R11, R13, R15, R17, R51, R53, R55, R72",0603,8,1k,
"R18, R19, R26, R27",0603,4,430R,
"R2, R52",0603,2,620R,
"R20, R22, R28, R30",0603,4,100R,
"R21, R23, R29, R31",0805,4,10R,
"R24, R25, R32, R33, R7, R8",0603,6,100k,
"R3, R4",0603,2,5k1,
"R34, R38, R42, R46",0603,4,536R,
"R35, R39, R43, R47, R54, R6",0603,6,470R,
"R36, R37, R40, R41, R44, R45, R48, R49",0603,8,1k8,
R5,0603,1,120R,
"R50, R71",0603,2,10k,
"R56, R57, R58, R59, R60",0603,5,10R,
"R61, R62, R63, R64, R65, R66, R67, R68, R69, R70",1206,10,0.120R,
R9,0603,1,24k9,
S1,SOT95P280X145-5N,1,STMPS2141STR,
SW1,SW-TH_SDDJF31100,1,SW_SPST,
"SW2, SW3",B3F3120,2,SW_Push,
U1,SOT-23-6,1,USBLC6-2SC6,
"U10, U11, U7, U8, U9",TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias,5,TMC2130-TA,
U12,LQFP-100_14x14mm_P0.5mm,1,STM32H743VITx,
U2,SOT-223-3_TabPin2,1,AP7361C-33E,
"U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,TC4427xOA,
U5,TSSOP-14_4.4x5mm_P0.65mm,1,SN74LV4T125,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,NE555D,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,
