Designator,Mid X,Mid Y,Rotation,Layer
C1,127.626,-55.651,90.0,top
C10,90.25,-67.0,0.0,top
C11,136.5,-62.48,0.0,top
C12,136.5,-71.0,0.0,top
C13,136.5,-79.5,0.0,top
C14,136.5,-88.0,0.0,top
C15,112.0,-109.75,90.0,top
C16,122.735003,-109.0,0.0,top
C17,112.0,-133.75,90.0,top
C18,122.75,-133.0,0.0,top
C19,100.25,-79.75,0.0,top
C2,129.626,-55.651,90.0,top
C20,89.25,-81.75,270.0,top
C21,100.25,-90.75,0.0,top
C22,89.25,-92.75,270.0,top
C23,100.25,-101.75,0.0,top
C24,89.25,-103.75,270.0,top
C25,100.25,-112.75,0.0,top
C26,89.25,-114.75,270.0,top
C27,78.5,-173.5,270.0,top
C28,67.5,-173.5,270.0,top
C29,50.0,-175.5,270.0,top
C3,104.0,-141.9925,270.0,top
C30,58.15,-175.5,270.0,top
C31,127.75,-159.0,180.0,top
C32,121.0,-185.25,0.0,top
C33,126.0,-166.75,0.0,top
C34,131.75,-154.75,0.0,top
C35,124.25,-159.0,0.0,top
C36,68.475,-147.75,270.0,top
C37,68.475,-126.25,270.0,top
C38,68.475,-104.75,270.0,top
C39,68.475,-83.25,270.0,top
C4,99.0,-141.9925,90.0,top
C40,68.475,-61.75,270.0,top
C41,72.475,-152.0,90.0,top
C42,72.475,-130.5,90.0,top
C43,72.475,-109.0,90.0,top
C44,72.475,-87.5,90.0,top
C45,72.475,-66.0,90.0,top
C46,65.475,-147.75,270.0,top
C47,65.475,-162.75,90.0,top
C48,75.225,-159.25,180.0,top
C49,65.475,-126.25,270.0,top
C5,91.1,-151.4925,90.0,top
C50,65.475,-141.25,90.0,top
C51,75.225,-137.75,180.0,top
C52,65.475,-104.75,270.0,top
C53,65.475,-119.75,90.0,top
C54,75.225,-116.25,180.0,top
C55,65.475,-83.25,270.0,top
C56,65.475,-98.25,90.0,top
C57,75.225,-94.75,180.0,top
C58,65.475,-61.75,270.0,top
C59,65.475,-76.75,90.0,top
C6,107.5,-148.9925,90.0,top
C60,75.225,-73.25,180.0,top
C61,56.0,-157.75,270.0,top
C62,56.0,-136.25,270.0,top
C63,56.0,-114.75,270.0,top
C64,56.0,-93.25,270.0,top
C65,56.0,-71.75,270.0,top
C66,66.975,-147.75,270.0,top
C67,66.975,-126.25,270.0,top
C68,66.975,-104.75,270.0,top
C69,66.975,-83.25,270.0,top
C7,104.0,-148.9925,90.0,top
C70,66.975,-61.75,270.0,top
C71,69.225,-152.0,270.0,top
C72,69.225,-130.5,270.0,top
C73,69.225,-109.0,270.0,top
C74,69.225,-87.5,270.0,top
C75,69.225,-66.0,270.0,top
C76,83.525,-41.5,180.0,top
C77,83.5,-43.5,180.0,top
C78,89.0,-56.0,270.0,top
C79,101.0,-56.0,270.0,top
C8,91.1,-154.9925,180.0,top
C80,105.5,-38.5,0.0,top
C81,86.0,-35.0,135.0,top
C82,84.75,-36.25,135.0,top
C83,84.251,-48.0,90.0,top
C84,82.75,-48.0,90.0,top
C85,83.5,-45.75,180.0,top
C86,106.5,-28.75,270.0,top
C87,84.26,-51.0,270.0,top
C88,82.75,-51.0,270.0,top
C89,77.25,-41.75,180.0,top
C9,93.75,-67.0,180.0,top
C90,77.25,-47.75,0.0,top
C91,99.0,-56.0,270.0,top
C92,105.5,-40.25,0.0,top
C93,112.25,-86.225,270.0,top
C94,112.25,-75.25,270.0,top
C95,112.25,-64.25,270.0,top
D1,128.0,-46.26975,0.0,top
D10,115.0,-124.0,180.0,top
D11,115.0,-140.0,180.0,top
D12,131.5,-139.5,90.0,top
D13,105.5,-85.0,0.0,top
D14,89.27,-85.5,270.0,top
D15,100.25,-84.25,0.0,top
D16,105.5,-96.0,0.0,top
D17,89.25,-96.5,270.0,top
D18,100.25,-95.25,0.0,top
D19,105.5,-107.0,0.0,top
D2,134.9975,-39.75,0.0,top
D20,89.25,-107.5,270.0,top
D21,100.25,-106.25,0.0,top
D22,105.5,-118.0,0.0,top
D23,89.25,-118.5,270.0,top
D24,100.25,-117.25,0.0,top
D25,117.0,-183.75,0.0,top
D26,128.75,-193.5,180.0,top
D27,128.75,-190.5,180.0,top
D28,111.0,-28.75,90.0,top
D3,87.415176,-73.25,90.0,top
D4,107.5,-142.0,90.0,top
D5,131.5,-103.5,90.0,top
D6,115.0,-100.0,180.0,top
D7,115.0,-116.0,180.0,top
D8,131.5,-115.5,90.0,top
D9,131.5,-127.5,90.0,top
F1,115.25,-162.0,90.0,top
F2,120.0,-174.0,0.0,top
FID1,50.0,-31.0,0.0,top
FID2,121.0,-31.0,0.0,top
FID3,52.0,-167.0,0.0,top
FID4,138.0,-182.0,0.0,top
IC1,98.5,-152.4925,0.0,top
J1,134.4,-50.75,90.0,top
J10,136.5,-142.5,90.0,top
J11,56.984293,-24.019293,270.0,top
J12,56.985,-53.02,270.0,top
J13,95.76,-124.025,90.0,top
J14,95.76,-128.975,90.0,top
J15,95.76,-126.5,90.0,top
J16,94.275,-83.5,270.0,top
J17,94.275,-94.5,270.0,top
J18,94.275,-105.5,270.0,top
J19,94.25,-116.5,270.0,top
J2,140.7475,-33.25,90.0,top
J20,90.0,-166.5,180.0,top
J21,105.0,-166.5,180.0,top
J22,69.5,-187.55,90.0,top
J23,53.0,-188.0,0.0,top
J24,136.5,-160.005,180.0,top
J25,136.5,-153.755,180.0,top
