Designator,Footprint,Quantity,Value,LCSC Part #
"C1_12, C1_11, C1_10, C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1, C2_12, C2_11, C2_10, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C3_12, C3_11, C3_10, C3_9, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C4_12, C4_11, C4_10, C4_9, C4_8, C4_7, C4_6, C4_5, C4_4, C4_3, C4_2, C4, C6_12, C6_11, C6_10, C6_9, C6_8, C6_7, C6_6, C6_5, C6_4, C6_3, C6_2, C6",0603,60,100n,
"C5_12, C5_11, C5_10, C5_9, C5_8, C5_7, C5_6, C5_5, C5_4, C5_3, C5_2, C5",0603,12,1µ,
"J1_12, J1_11, J1_10, J1_9, J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1, J4_12, J4_11, J4_10, J4_9, J4_8, J4_7, J4_6, J4_5, J4_4, J4_3, J4_2, J4",PinHeader_1x03_P2.54mm_Vertical,24,Conn_01x03,
"J2_12, J2_11, J2_10, J2_9, J2_8, J2_7, J2_6, J2_5, J2_4, J2_3, J2_2, J2, J3_12, J3_11, J3_10, J3_9, J3_8, J3_7, J3_6, J3_5, J3_4, J3_3, J3_2, J3",PinHeader_1x02_P2.54mm_Vertical,24,Conn_01x02,
"R1_12, R1_11, R1_10, R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_12, R2_11, R2_10, R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2",0603,24,2k2,
"R3_12, R3_11, R3_10, R3_9, R3_8, R3_7, R3_6, R3_5, R3_4, R3_3, R3_2, R3, R4_12, R4_11, R4_10, R4_9, R4_8, R4_7, R4_6, R4_5, R4_4, R4_3, R4_2, R4, R8_12, R8_11, R8_10, R8_9, R8_8, R8_7, R8_6, R8_5, R8_4, R8_3, R8_2, R8",0603,36,10k,
"R5_12, R5_11, R5_10, R5_9, R5_8, R5_7, R5_6, R5_5, R5_4, R5_3, R5_2, R5",0603,12,5k49,
"R6_12, R6_11, R6_10, R6_9, R6_8, R6_7, R6_6, R6_5, R6_4, R6_3, R6_2, R6",0603,12,100R,
"R7_12, R7_11, R7_10, R7_9, R7_8, R7_7, R7_6, R7_5, R7_4, R7_3, R7_2, R7",0603,12,100k,
"U1_12, U1_11, U1_10, U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",WSON-8-1EP_3x3mm_P0.5mm_EP1.45x2.4mm_ThermalVias,12,INA826AIDRGR,
