Designator,Mid X,Mid Y,Rotation,Layer
C1_12,164.3,-78.8,270.0,top
C1_11,144.3,-78.8,270.0,top
C1_10,164.3,-126.8,270.0,top
C1_9,164.3,-102.8,270.0,top
C1_8,144.3,-126.8,270.0,top
C1_7,144.3,-102.8,270.0,top
C1_6,124.3,-126.8,270.0,top
C1_5,124.3,-102.8,270.0,top
C1_4,104.3,-126.8,270.0,top
C1_3,104.3,-102.8,270.0,top
C1_2,124.3,-78.8,270.0,top
C1,104.3,-78.8,270.0,top
C2_12,164.3,-85.25,270.0,top
C2_11,144.3,-85.25,270.0,top
C2_10,164.3,-133.25,270.0,top
C2_9,164.3,-109.25,270.0,top
C2_8,144.3,-133.25,270.0,top
C2_7,144.3,-109.25,270.0,top
C2_6,124.3,-133.25,270.0,top
C2_5,124.3,-109.25,270.0,top
C2_4,104.3,-133.25,270.0,top
C2_3,104.3,-109.25,270.0,top
C2_2,124.3,-85.25,270.0,top
C2,104.3,-85.25,270.0,top
C3_12,159.0,-79.1,0.0,top
C3_11,139.0,-79.1,0.0,top
C3_10,159.0,-127.1,0.0,top
C3_9,159.0,-103.1,0.0,top
C3_8,139.0,-127.1,0.0,top
C3_7,139.0,-103.1,0.0,top
C3_6,119.0,-127.1,0.0,top
C3_5,119.0,-103.1,0.0,top
C3_4,99.0,-127.1,0.0,top
C3_3,99.0,-103.1,0.0,top
C3_2,119.0,-79.1,0.0,top
C3,99.0,-79.1,0.0,top
C4_12,159.0,-84.5,180.0,top
C4_11,139.0,-84.5,180.0,top
C4_10,159.0,-132.5,180.0,top
C4_9,159.0,-108.5,180.0,top
C4_8,139.0,-132.5,180.0,top
C4_7,139.0,-108.5,180.0,top
C4_6,119.0,-132.5,180.0,top
C4_5,119.0,-108.5,180.0,top
C4_4,99.0,-132.5,180.0,top
C4_3,99.0,-108.5,180.0,top
C4_2,119.0,-84.5,180.0,top
C4,99.0,-84.5,180.0,top
C5_12,161.25,-81.8,270.0,top
C5_11,141.25,-81.8,270.0,top
C5_10,161.25,-129.8,270.0,top
C5_9,161.25,-105.8,270.0,top
C5_8,141.25,-129.8,270.0,top
C5_7,141.25,-105.8,270.0,top
C5_6,121.25,-129.8,270.0,top
C5_5,121.25,-105.8,270.0,top
C5_4,101.25,-129.8,270.0,top
C5_3,101.25,-105.8,270.0,top
C5_2,121.25,-81.8,270.0,top
